text
Old ox plows field
A friend invites guests
The chef cooks dinner
Bamboo rat gnaws shoots
A farmer plants vegetables
Green grass sprouts up
The monk chants scriptures
A teacher gives lecture
The whale spouts water
The sheep eats grass
A hero extinguishes fire
The tourist climbs mountain
Pond duck paddles water
A spider spins web
My grandfather plays chess
The doctor treats patients
The nurse administers vaccine
A hen lays eggs
The pedestrian crosses street
The judge decides case
A lion eats meat
An eagle catches fish
Honey bee gathers nectar
The child reads books
The driver operates vehicle
A painter creates art
The boatman rows oars
The poet recites verses
The sparrow builds nest
A monkey picks peaches
A fisherman casts net
The camel drinks water
The fox catches mice
A seal balances ball
A kitten catches fish
Old horse pulls cart
A dove carries branch
The child collects shells
A chick pecks grain
A titmouse catches insects
The bluebird pecks wood
A woodcutter chops firewood
Black bear climbs tree
A coyote digs burrow
War pigeon delivers messages
The swallow feeds chicks
Wild boar roots earth
A fisherman rows boat
The earthworm burrows soil
Silkworm moth spins silk
